protein_id	id_type
ABB52524.1	GenBank
ABB52523.1	GenBank
ABB52539.1	GenBank
ABB52540.1	GenBank
ABB52541.1	GenBank
ABB52542.1	GenBank
ABB52543.1	GenBank
ABB52522.1	GenBank
AAM81584.2	GenBank
AAM81585.1	GenBank
AAM81586.2	GenBank
ABB52544.1	GenBank
ABB52545.1	GenBank
ABB52546.1	GenBank
ABB52547.1	GenBank
ABB52548.1	GenBank
ABB52549.1	GenBank
ABS57479.1	GenBank
ABS57480.1	GenBank
ABS57481.1	GenBank
ABS57482.1	GenBank
ABS57483.1	GenBank
ABS57484.1	GenBank
ABS57485.1	GenBank
ABS57486.1	GenBank
ABS57487.1	GenBank
ABS57488.1	GenBank
AAZ95013.1	GenBank
AAZ95015.1	GenBank
AAZ95014.1	GenBank
AAZ95016.1	GenBank
AAZ95017.1	GenBank
ABS57489.1	GenBank
ABS57490.1	GenBank
ABS57491.1	GenBank
ABS57492.1	GenBank
ABS57493.1	GenBank
ABB88517.1	GenBank
ABB88518.1	GenBank
ABB88519.1	GenBank
ABB88520.1	GenBank
ABB88521.1	GenBank
ABB88522.1	GenBank
ABB88523.1	GenBank
ABB88524.1	GenBank
AGY62753.1	GenBank
AGY62754.1	GenBank
AGY62755.1	GenBank
AGY62756.1	GenBank
AGY62757.1	GenBank
AGY62758.1	GenBank
AGY62759.1	GenBank
AGY62760.1	GenBank
AGY62761.1	GenBank
AGY62762.1	GenBank
AAX98183.1	GenBank
AAX98184.1	GenBank
AAX98185.1	GenBank
AAX98186.1	GenBank
AAX98187.1	GenBank
AAX98188.1	GenBank
AAX98189.1	GenBank
AAX98190.1	GenBank
AAX98191.1	GenBank
AAX98192.1	GenBank
AAX98193.1	GenBank
AAX98194.1	GenBank
AAX98195.1	GenBank
AAX98196.1	GenBank
AAX98197.1	GenBank
AAX98198.1	GenBank
AAX98199.1	GenBank
AAX98200.1	GenBank
AAX98201.1	GenBank
AAX98202.1	GenBank
AAX98203.1	GenBank
AAX98204.1	GenBank
AAX98205.1	GenBank
AAX98206.1	GenBank
AAX98207.1	GenBank
AAX98208.1	GenBank
AAX98209.1	GenBank
AAX98210.1	GenBank
ctg1_orf1	Not in NCBI
ctg1_orf2	Not in NCBI
ctg1_orf3	Not in NCBI
ctg1_orf4	Not in NCBI
ctg1_orf5	Not in NCBI
ctg1_orf6	Not in NCBI
ctg1_orf7	Not in NCBI
ctg1_orf8	Not in NCBI
ctg1_orf9	Not in NCBI
ctg1_orf10	Not in NCBI
ctg1_orf11	Not in NCBI
ctg1_orf12	Not in NCBI
ctg1_orf13	Not in NCBI
ctg1_orf14	Not in NCBI
ctg1_orf15	Not in NCBI
ctg1_orf16	Not in NCBI
ctg1_orf17	Not in NCBI
ctg1_orf18	Not in NCBI
ctg1_orf19	Not in NCBI
ctg1_orf20	Not in NCBI
ctg1_orf21	Not in NCBI
ctg1_orf22	Not in NCBI
ctg1_orf23	Not in NCBI
ctg1_orf24	Not in NCBI
AAU93784.2	GenBank
AAU93785.1	GenBank
AAU93786.2	GenBank
