accession	source
BGC0001126	MIBiG
BGC0001127	MIBiG
BGC0001128	MIBiG
BGC0001130	MIBiG
BGC0001131	MIBiG
BGC0001132	MIBiG
BGC0001133	MIBiG
BGC0001134	MIBiG
BGC0001135	MIBiG
BGC0001136	MIBiG
BGC0001137	MIBiG
BGC0001138	MIBiG
BGC0001140	MIBiG
BGC0001141	MIBiG
BGC0001142	MIBiG
BGC0001143	MIBiG
BGC0001144	MIBiG
BGC0001145	MIBiG
BGC0001146	MIBiG
BGC0001147	MIBiG
BGC0001148	MIBiG
BGC0001149	MIBiG
BGC0001150	MIBiG
BGC0001151	MIBiG
BGC0001152	MIBiG
BGC0001153	MIBiG
BGC0001154	MIBiG
BGC0001155	MIBiG
BGC0001156	MIBiG
BGC0001157	MIBiG
BGC0001159	MIBiG
BGC0001160	MIBiG
BGC0001161	MIBiG
